ProductoID,Cantidad,Descuento,FechaFactura,FechaEnvio,PaisEnvio,ProductoNombre,UnidadesStock
11,45,0.2,8/20/1996 0:00,8/26/1996 0:00,Germany,Chai,39
42,18,0,8/30/1996 0:00,9/5/1996 0:00,USA,Chai,39
72,20,0,9/30/1996 0:00,10/10/1996 0:00,USA,Chai,39
14,15,0.15000001,11/7/1996 0:00,11/15/1996 0:00,Germany,Chai,39
51,12,0,11/14/1996 0:00,11/20/1996 0:00,Mexico,Chai,39
41,15,0.15000001,12/3/1996 0:00,12/27/1996 0:00,Switzerland,Chai,39
51,10,0,1/7/1997 0:00,1/13/1997 0:00,Brazil,Chai,39
65,24,0,1/14/1997 0:00,1/16/1997 0:00,France,Chai,39
22,15,0,3/17/1997 0:00,3/25/1997 0:00,Portugal,Chai,39
57,40,0.2,4/30/1997 0:00,5/6/1997 0:00,Germany,Chai,39
65,8,0.15000001,5/5/1997 0:00,5/15/1997 0:00,Finland,Chai,39
20,10,0,6/23/1997 0:00,6/30/1997 0:00,Mexico,Chai,39
33,20,0,7/7/1997 0:00,7/14/1997 0:00,Canada,Chai,39
60,3,0,7/24/1997 0:00,7/30/1997 0:00,France,Chai,39
31,6,0,7/25/1997 0:00,8/1/1997 0:00,Poland,Chai,39
39,25,0,8/12/1997 0:00,8/20/1997 0:00,France,Chai,39
49,15,0.25,8/27/1997 0:00,9/3/1997 0:00,Ireland,Chai,39
24,35,0.25,10/1/1997 0:00,10/7/1997 0:00,Sweden,Chai,39
55,30,0,10/3/1997 0:00,10/22/1997 0:00,Germany,Chai,39
74,5,0.2,10/10/1997 0:00,10/16/1997 0:00,USA,Chai,39
2,50,0,11/4/1997 0:00,11/14/1997 0:00,Venezuela,Chai,39
16,8,0,11/24/1997 0:00,11/28/1997 0:00,UK,Chai,39
36,4,0.25,1/19/1998 0:00,1/23/1998 0:00,Venezuela,Chai,39
59,80,0.2,1/22/1998 0:00,2/10/1998 0:00,USA,Chai,39
53,20,0.15000001,2/2/1998 0:00,2/17/1998 0:00,Venezuela,Chai,39
77,40,0,2/4/1998 0:00,2/9/1998 0:00,UK,Chai,39
27,20,0.05,2/24/1998 0:00,3/6/1998 0:00,Brazil,Chai,39
39,10,0,2/26/1998 0:00,3/5/1998 0:00,Spain,Chai,39
77,60,0.25,3/2/1998 0:00,3/11/1998 0:00,Canada,Chai,39
2,21,0,3/9/1998 0:00,3/18/1998 0:00,Brazil,Chai,39
5,4,0,4/6/1998 0:00,4/8/1998 0:00,USA,Chai,39
32,2,0,4/7/1998 0:00,4/10/1998 0:00,Finland,Chai,39
21,8,0,4/7/1998 0:00,4/15/1998 0:00,USA,Chai,39
37,10,0.1,4/15/1998 0:00,4/24/1998 0:00,Finland,Chai,39
41,45,0,4/17/1998 0:00,4/24/1998 0:00,USA,Chai,39
57,10,0,4/20/1998 0:00,4/24/1998 0:00,Belgium,Chai,39
62,25,0.25,4/24/1998 0:00,5/1/1998 0:00,UK,Chai,39
70,40,0.15000001,5/5/1998 0:00,0000-00-00 00:00:00,Germany,Chai,39
21,20,0,7/12/1996 0:00,7/15/1996 0:00,Switzerland,Chang,17
35,50,0.2,7/17/1996 0:00,7/23/1996 0:00,Austria,Chang,17
5,35,0,7/24/1996 0:00,8/23/1996 0:00,Sweden,Chang,17
7,40,0,9/5/1996 0:00,9/11/1996 0:00,Ireland,Chang,17
56,25,0.2,10/11/1996 0:00,10/14/1996 0:00,Sweden,Chang,17
16,7,0.2,10/22/1996 0:00,10/24/1996 0:00,Ireland,Chang,17
24,24,0.2,10/30/1996 0:00,11/4/1996 0:00,Germany,Chang,17
30,25,0.25,12/25/1996 0:00,1/3/1997 0:00,USA,Chang,17
74,60,0,1/17/1997 0:00,1/24/1997 0:00,Germany,Chang,17
2,10,0,2/4/1997 0:00,2/7/1997 0:00,UK,Chang,17
41,45,0.15000001,2/10/1997 0:00,2/28/1997 0:00,USA,Chang,17
17,40,0.15000001,3/10/1997 0:00,3/14/1997 0:00,USA,Chang,17
70,20,0.1,3/25/1997 0:00,3/31/1997 0:00,Venezuela,Chang,17
12,12,0,4/11/1997 0:00,4/18/1997 0:00,USA,Chang,17
40,10,0,7/25/1997 0:00,8/1/1997 0:00,Poland,Chang,17
59,20,0,8/6/1997 0:00,8/11/1997 0:00,Brazil,Chang,17
76,30,0.05,8/14/1997 0:00,8/19/1997 0:00,Germany,Chang,17
29,50,0,8/22/1997 0:00,8/26/1997 0:00,Venezuela,Chang,17
72,5,0,10/14/1997 0:00,10/20/1997 0:00,Sweden,Chang,17
33,30,0.25,10/22/1997 0:00,10/27/1997 0:00,USA,Chang,17
72,3,0,10/29/1997 0:00,11/4/1997 0:00,USA,Chang,17
36,15,0.2,11/14/1997 0:00,11/18/1997 0:00,UK,Chang,17
43,40,0,12/5/1997 0:00,12/9/1997 0:00,Germany,Chang,17
33,15,0.05,12/19/1997 0:00,12/26/1997 0:00,France,Chang,17
20,10,0,12/23/1997 0:00,12/31/1997 0:00,Poland,Chang,17
31,20,0.25,12/31/1997 0:00,1/5/1998 0:00,France,Chang,17
72,12,0.2,1/5/1998 0:00,1/9/1998 0:00,Brazil,Chang,17
10,10,0,1/13/1998 0:00,1/23/1998 0:00,UK,Chang,17
31,5,0.05,1/26/1998 0:00,2/2/1998 0:00,Brazil,Chang,17
33,15,0,1/26/1998 0:00,1/30/1998 0:00,USA,Chang,17
40,20,0,1/28/1998 0:00,2/10/1998 0:00,Mexico,Chang,17
76,21,0.25,2/3/1998 0:00,2/12/1998 0:00,Sweden,Chang,17
71,20,0,2/12/1998 0:00,2/18/1998 0:00,Belgium,Chang,17
72,20,0,2/16/1998 0:00,2/23/1998 0:00,Spain,Chang,17
24,10,0.15000001,3/10/1998 0:00,3/13/1998 0:00,Italy,Chang,17
59,50,0.2,4/1/1998 0:00,4/7/1998 0:00,Germany,Chang,17
10,11,0.25,4/14/1998 0:00,4/21/1998 0:00,Germany,Chang,17
13,100,0.25,4/17/1998 0:00,4/27/1998 0:00,USA,Chang,17
28,30,0.2,4/22/1998 0:00,4/28/1998 0:00,Switzerland,Chang,17
62,10,0.2,4/24/1998 0:00,5/4/1998 0:00,Brazil,Chang,17
44,20,0.15000001,5/5/1998 0:00,0000-00-00 00:00:00,Germany,Chang,17
59,8,0,5/5/1998 0:00,0000-00-00 00:00:00,Austria,Chang,17
63,10,0.15000001,5/6/1998 0:00,0000-00-00 00:00:00,Switzerland,Chang,17
73,24,0.2,5/6/1998 0:00,0000-00-00 00:00:00,USA,Chang,17
17,30,0,8/26/1996 0:00,8/28/1996 0:00,UK,Aniseed Syrup,13
24,50,0,1/6/1997 0:00,1/22/1997 0:00,Venezuela,Aniseed Syrup,13
55,20,0.1,3/25/1997 0:00,3/31/1997 0:00,Venezuela,Aniseed Syrup,13
75,60,0,5/19/1997 0:00,6/13/1997 0:00,Germany,Aniseed Syrup,13
19,14,0,7/7/1997 0:00,7/16/1997 0:00,Denmark,Aniseed Syrup,13
24,6,0,10/13/1997 0:00,10/21/1997 0:00,Germany,Aniseed Syrup,13
35,20,0,11/14/1997 0:00,11/18/1997 0:00,Canada,Aniseed Syrup,13
30,20,0.1,12/3/1997 0:00,12/8/1997 0:00,Austria,Aniseed Syrup,13
57,49,0,1/23/1998 0:00,1/30/1998 0:00,Germany,Aniseed Syrup,13
15,30,0,1/28/1998 0:00,2/6/1998 0:00,Sweden,Aniseed Syrup,13
19,25,0,4/13/1998 0:00,4/20/1998 0:00,Austria,Aniseed Syrup,13
60,4,0,5/6/1998 0:00,0000-00-00 00:00:00,USA,Aniseed Syrup,13
72,20,0,9/19/1996 0:00,10/23/1996 0:00,Ireland,Chef Anton's Cajun Seasoning,53
27,24,0,10/10/1996 0:00,10/14/1996 0:00,Spain,Chef Anton's Cajun Seasoning,53
44,18,0.1,10/23/1996 0:00,10/25/1996 0:00,Portugal,Chef Anton's Cajun Seasoning,53
60,10,0,10/28/1996 0:00,11/4/1996 0:00,Canada,Chef Anton's Cajun Seasoning,53
67,35,0,11/1/1996 0:00,11/5/1996 0:00,USA,Chef Anton's Cajun Seasoning,53
1,16,0.2,3/4/1997 0:00,3/14/1997 0:00,Portugal,Chef Anton's Cajun Seasoning,53
40,50,0.15000001,4/18/1997 0:00,4/21/1997 0:00,France,Chef Anton's Cajun Seasoning,53
53,50,0.1,5/5/1997 0:00,5/7/1997 0:00,Germany,Chef Anton's Cajun Seasoning,53
35,50,0.05,5/12/1997 0:00,5/22/1997 0:00,Sweden,Chef Anton's Cajun Seasoning,53
62,20,0.2,7/22/1997 0:00,7/31/1997 0:00,Brazil,Chef Anton's Cajun Seasoning,53
16,10,0.1,8/18/1997 0:00,8/21/1997 0:00,Italy,Chef Anton's Cajun Seasoning,53
34,25,0,8/19/1997 0:00,8/26/1997 0:00,Finland,Chef Anton's Cajun Seasoning,53
46,12,0.1,9/2/1997 0:00,9/11/1997 0:00,Sweden,Chef Anton's Cajun Seasoning,53
54,6,0,10/14/1997 0:00,11/7/1997 0:00,Brazil,Chef Anton's Cajun Seasoning,53
68,25,0,11/3/1997 0:00,12/5/1997 0:00,UK,Chef Anton's Cajun Seasoning,53
3,21,0,1/22/1998 0:00,1/23/1998 0:00,Belgium,Chef Anton's Cajun Seasoning,53
64,30,0.25,2/26/1998 0:00,3/4/1998 0:00,Brazil,Chef Anton's Cajun Seasoning,53
5,5,0,3/16/1998 0:00,3/23/1998 0:00,Italy,Chef Anton's Cajun Seasoning,53
29,25,0.25,4/6/1998 0:00,4/14/1998 0:00,USA,Chef Anton's Cajun Seasoning,53
49,1,0,5/6/1998 0:00,0000-00-00 00:00:00,USA,Chef Anton's Cajun Seasoning,53
77,65,0.2,7/17/1996 0:00,7/23/1996 0:00,Austria,Chef Anton's Gumbo Mix,0
13,12,0.2,7/22/1996 0:00,7/25/1996 0:00,USA,Chef Anton's Gumbo Mix,0
44,20,0,8/27/1996 0:00,9/3/1996 0:00,Brazil,Chef Anton's Gumbo Mix,0
51,32,0,12/13/1996 0:00,12/16/1996 0:00,Austria,Chef Anton's Gumbo Mix,0
20,15,0.1,8/18/1997 0:00,8/21/1997 0:00,Italy,Chef Anton's Gumbo Mix,0
18,4,0,10/17/1997 0:00,11/5/1997 0:00,USA,Chef Anton's Gumbo Mix,0
24,30,0,1/23/1998 0:00,1/29/1998 0:00,UK,Chef Anton's Gumbo Mix,0
63,20,0,3/18/1998 0:00,3/27/1998 0:00,Argentina,Chef Anton's Gumbo Mix,0
75,70,0,4/17/1998 0:00,4/27/1998 0:00,USA,Chef Anton's Gumbo Mix,0
1,30,0.25,4/24/1998 0:00,5/1/1998 0:00,UK,Chef Anton's Gumbo Mix,0
17,30,0,9/19/1996 0:00,10/23/1996 0:00,Ireland,Grandma's Boysenberry Spread,120
43,6,0,10/9/1996 0:00,10/14/1996 0:00,Germany,Grandma's Boysenberry Spread,120
60,70,0,8/1/1997 0:00,8/8/1997 0:00,Canada,Grandma's Boysenberry Spread,120
75,30,0,11/7/1997 0:00,11/12/1997 0:00,Brazil,Grandma's Boysenberry Spread,120
56,6,0,1/13/1998 0:00,1/21/1998 0:00,Brazil,Grandma's Boysenberry Spread,120
11,50,0.05,2/5/1998 0:00,2/10/1998 0:00,France,Grandma's Boysenberry Spread,120
16,20,0,3/9/1998 0:00,3/12/1998 0:00,Germany,Grandma's Boysenberry Spread,120
69,12,0,3/13/1998 0:00,3/17/1998 0:00,Canada,Grandma's Boysenberry Spread,120
39,16,0.05,3/16/1998 0:00,3/24/1998 0:00,Germany,Grandma's Boysenberry Spread,120
72,40,0,3/31/1998 0:00,4/2/1998 0:00,Brazil,Grandma's Boysenberry Spread,120
2,20,0.25,5/6/1998 0:00,0000-00-00 00:00:00,France,Grandma's Boysenberry Spread,120
36,1,0.02,5/6/1998 0:00,0000-00-00 00:00:00,USA,Grandma's Boysenberry Spread,120
59,15,0,7/22/1996 0:00,7/25/1996 0:00,USA,Uncle Bob's Organic Dried Pears,15
62,10,0.2,12/17/1996 0:00,12/23/1996 0:00,USA,Uncle Bob's Organic Dried Pears,15
19,16,0.05,2/27/1997 0:00,2/28/1997 0:00,France,Uncle Bob's Organic Dried Pears,15
70,30,0,3/11/1997 0:00,3/18/1997 0:00,UK,Uncle Bob's Organic Dried Pears,15
66,50,0.15000001,4/18/1997 0:00,4/21/1997 0:00,France,Uncle Bob's Organic Dried Pears,15
68,10,0,5/23/1997 0:00,5/27/1997 0:00,France,Uncle Bob's Organic Dried Pears,15
40,10,0,7/7/1997 0:00,7/16/1997 0:00,Denmark,Uncle Bob's Organic Dried Pears,15
56,45,0,7/22/1997 0:00,7/25/1997 0:00,USA,Uncle Bob's Organic Dried Pears,15
17,35,0,8/15/1997 0:00,8/21/1997 0:00,France,Uncle Bob's Organic Dried Pears,15
28,90,0,10/6/1997 0:00,10/9/1997 0:00,Germany,Uncle Bob's Organic Dried Pears,15
43,35,0,12/5/1997 0:00,12/9/1997 0:00,Germany,Uncle Bob's Organic Dried Pears,15
40,3,0.15000001,12/22/1997 0:00,12/26/1997 0:00,Brazil,Uncle Bob's Organic Dried Pears,15
65,20,0.1,1/15/1998 0:00,1/23/1998 0:00,Germany,Uncle Bob's Organic Dried Pears,15
68,5,0,1/29/1998 0:00,2/3/1998 0:00,France,Uncle Bob's Organic Dried Pears,15
49,20,0.05,2/26/1998 0:00,3/6/1998 0:00,Italy,Uncle Bob's Organic Dried Pears,15
59,12,0,2/26/1998 0:00,3/10/1998 0:00,Norway,Uncle Bob's Organic Dried Pears,15
71,8,0,3/11/1998 0:00,3/23/1998 0:00,France,Uncle Bob's Organic Dried Pears,15
18,6,0,3/18/1998 0:00,3/27/1998 0:00,Argentina,Uncle Bob's Organic Dried Pears,15
29,45,0,3/19/1998 0:00,3/23/1998 0:00,Germany,Uncle Bob's Organic Dried Pears,15
39,18,0,3/26/1998 0:00,3/31/1998 0:00,Austria,Uncle Bob's Organic Dried Pears,15
30,20,0,3/27/1998 0:00,4/8/1998 0:00,Canada,Uncle Bob's Organic Dried Pears,15
53,60,0,3/31/1998 0:00,4/6/1998 0:00,UK,Uncle Bob's Organic Dried Pears,15
54,60,0,3/31/1998 0:00,4/10/1998 0:00,USA,Uncle Bob's Organic Dried Pears,15
62,60,0,4/6/1998 0:00,4/14/1998 0:00,Sweden,Uncle Bob's Organic Dried Pears,15
68,20,0,4/9/1998 0:00,4/21/1998 0:00,Italy,Uncle Bob's Organic Dried Pears,15
69,4,0,4/14/1998 0:00,4/24/1998 0:00,UK,Uncle Bob's Organic Dried Pears,15
70,40,0,4/28/1998 0:00,5/1/1998 0:00,UK,Uncle Bob's Organic Dried Pears,15
4,15,0.05,5/5/1998 0:00,0000-00-00 00:00:00,Venezuela,Uncle Bob's Organic Dried Pears,15
6,1,0.05,5/6/1998 0:00,0000-00-00 00:00:00,USA,Uncle Bob's Organic Dried Pears,15
42,70,0.25,11/1/1996 0:00,11/5/1996 0:00,USA,Northwoods Cranberry Sauce,6
43,70,0,11/4/1996 0:00,11/11/1996 0:00,Germany,Northwoods Cranberry Sauce,6
71,10,0.15000001,4/18/1997 0:00,4/21/1997 0:00,France,Northwoods Cranberry Sauce,6
16,24,0,4/30/1997 0:00,5/6/1997 0:00,Germany,Northwoods Cranberry Sauce,6
