ProductoID,Cantidad,Descuento,FechaFactura,FechaEnvio,PaisEnvio,ProductoNombre,UnidadesStock,dias
11,45,0.2,1996-08-20,1996-08-26,Germany,Chai,39,6.0
42,18,0.0,1996-08-30,1996-09-05,USA,Chai,39,6.0
72,20,0.0,1996-09-30,1996-10-10,USA,Chai,39,10.0
14,15,0.15000001,1996-11-07,1996-11-15,Germany,Chai,39,8.0
51,12,0.0,1996-11-14,1996-11-20,Mexico,Chai,39,6.0
41,15,0.15000001,1996-12-03,1996-12-27,Switzerland,Chai,39,24.0
51,10,0.0,1997-01-07,1997-01-13,Brazil,Chai,39,6.0
65,24,0.0,1997-01-14,1997-01-16,France,Chai,39,2.0
22,15,0.0,1997-03-17,1997-03-25,Portugal,Chai,39,8.0
57,40,0.2,1997-04-30,1997-05-06,Germany,Chai,39,6.0
65,8,0.15000001,1997-05-05,1997-05-15,Finland,Chai,39,10.0
20,10,0.0,1997-06-23,1997-06-30,Mexico,Chai,39,7.0
33,20,0.0,1997-07-07,1997-07-14,Canada,Chai,39,7.0
60,3,0.0,1997-07-24,1997-07-30,France,Chai,39,6.0
31,6,0.0,1997-07-25,1997-08-01,Poland,Chai,39,7.0
39,25,0.0,1997-08-12,1997-08-20,France,Chai,39,8.0
49,15,0.25,1997-08-27,1997-09-03,Ireland,Chai,39,7.0
24,35,0.25,1997-10-01,1997-10-07,Sweden,Chai,39,6.0
55,30,0.0,1997-10-03,1997-10-22,Germany,Chai,39,19.0
74,5,0.2,1997-10-10,1997-10-16,USA,Chai,39,6.0
2,50,0.0,1997-11-04,1997-11-14,Venezuela,Chai,39,10.0
16,8,0.0,1997-11-24,1997-11-28,UK,Chai,39,4.0
36,4,0.25,1998-01-19,1998-01-23,Venezuela,Chai,39,4.0
59,80,0.2,1998-01-22,1998-02-10,USA,Chai,39,19.0
53,20,0.15000001,1998-02-02,1998-02-17,Venezuela,Chai,39,15.0
77,40,0.0,1998-02-04,1998-02-09,UK,Chai,39,5.0
27,20,0.05,1998-02-24,1998-03-06,Brazil,Chai,39,10.0
39,10,0.0,1998-02-26,1998-03-05,Spain,Chai,39,7.0
77,60,0.25,1998-03-02,1998-03-11,Canada,Chai,39,9.0
2,21,0.0,1998-03-09,1998-03-18,Brazil,Chai,39,9.0
5,4,0.0,1998-04-06,1998-04-08,USA,Chai,39,2.0
32,2,0.0,1998-04-07,1998-04-10,Finland,Chai,39,3.0
21,8,0.0,1998-04-07,1998-04-15,USA,Chai,39,8.0
37,10,0.1,1998-04-15,1998-04-24,Finland,Chai,39,9.0
41,45,0.0,1998-04-17,1998-04-24,USA,Chai,39,7.0
57,10,0.0,1998-04-20,1998-04-24,Belgium,Chai,39,4.0
62,25,0.25,1998-04-24,1998-05-01,UK,Chai,39,7.0
70,40,0.15000001,1998-05-05,,Germany,Chai,39,
21,20,0.0,1996-07-12,1996-07-15,Switzerland,Chang,17,3.0
35,50,0.2,1996-07-17,1996-07-23,Austria,Chang,17,6.0
5,35,0.0,1996-07-24,1996-08-23,Sweden,Chang,17,30.0
7,40,0.0,1996-09-05,1996-09-11,Ireland,Chang,17,6.0
56,25,0.2,1996-10-11,1996-10-14,Sweden,Chang,17,3.0
