FacturaID,ProductoID,PrecioUnitario,Cantidad,Descuento,ProductoID.1,ProductoNombre,ProveedorID,CategoriaID,CantidadPorUnidad,PrecioUnitario.1,UnidadesStock,UnidadesPedidas,NivelReorden,Discontinuado,Cantidad_z,PrecioUnitario_z,Descuento_z
10300,66,13.6,30,0.0,66,Louisiana Hot Spiced Okra,2,2,24 - 8 oz jars,17.0,4,100,20,0,0.32533002195405913,-0.423149215238861,-0.673216465940181
10442,66,13.6,60,0.0,66,Louisiana Hot Spiced Okra,2,2,24 - 8 oz jars,17.0,4,100,20,0,1.9028134029883297,-0.423149215238861,-0.673216465940181
10475,66,13.6,60,0.15000001,66,Louisiana Hot Spiced Okra,2,2,24 - 8 oz jars,17.0,4,100,20,0,1.9028134029883297,-0.423149215238861,1.12467872821285
10493,66,13.6,10,0.1,66,Louisiana Hot Spiced Okra,2,2,24 - 8 oz jars,17.0,4,100,20,0,-0.7263255654021212,-0.423149215238861,0.5253802502553921
10532,66,17.0,24,0.0,66,Louisiana Hot Spiced Okra,2,2,24 - 8 oz jars,17.0,4,100,20,0,0.009833345747205048,-0.3091336758922028,-0.673216465940181
10682,66,17.0,4,0.0,66,Louisiana Hot Spiced Okra,2,2,24 - 8 oz jars,17.0,4,100,20,0,-1.0418222416089753,-0.3091336758922028,-0.673216465940181
10774,66,17.0,50,0.0,66,Louisiana Hot Spiced Okra,2,2,24 - 8 oz jars,17.0,4,100,20,0,1.3769856093102395,-0.3091336758922028,-0.673216465940181
11077,66,17.0,1,0.0,66,Louisiana Hot Spiced Okra,2,2,24 - 8 oz jars,17.0,4,100,20,0,-1.1995705797124023,-0.3091336758922028,-0.673216465940181
10289,64,26.6,9,0.0,64,Wimmers gute Semmelknödel,12,5,20 bags x 4 pieces,33.25,22,80,30,0,-0.7789083447699302,0.012792552851302598,-0.673216465940181
10343,64,26.6,50,0.0,64,Wimmers gute Semmelknödel,12,5,20 bags x 4 pieces,33.25,22,80,30,0,1.3769856093102395,0.012792552851302598,-0.673216465940181
10368,64,26.6,35,0.1,64,Wimmers gute Semmelknödel,12,5,20 bags x 4 pieces,33.25,22,80,30,0,0.5882439187931042,0.012792552851302598,0.5253802502553921
10370,64,26.6,30,0.0,64,Wimmers gute Semmelknödel,12,5,20 bags x 4 pieces,33.25,22,80,30,0,0.32533002195405913,0.012792552851302598,-0.673216465940181
10426,64,26.6,7,0.0,64,Wimmers gute Semmelknödel,12,5,20 bags x 4 pieces,33.25,22,80,30,0,-0.8840739035055483,0.012792552851302598,-0.673216465940181
10436,64,26.6,30,0.1,64,Wimmers gute Semmelknödel,12,5,20 bags x 4 pieces,33.25,22,80,30,0,0.32533002195405913,0.012792552851302598,0.5253802502553921
10439,64,26.6,6,0.0,64,Wimmers gute Semmelknödel,12,5,20 bags x 4 pieces,33.25,22,80,30,0,-0.9366566828733572,0.012792552851302598,-0.673216465940181
10451,64,26.6,35,0.1,64,Wimmers gute Semmelknödel,12,5,20 bags x 4 pieces,33.25,22,80,30,0,0.5882439187931042,0.012792552851302598,0.5253802502553921
